dataset	n_seqs	condition	n_reference	n_test	matched	only_reference	only_test	same_rank	same_proposal	recall	precision	identical
n100	100	port_py3_epang_T1	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T16	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T2	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T4	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T8	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T8_K10	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T8_K25	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T8_K50	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_epang_T8_Kexact	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	port_py3_raxml_T1	6	6	6	0	0	6	6	1.000	1.000	True
n100	100	port_py3_raxml_T8	6	6	6	0	0	6	6	1.000	1.000	True
n100	100	upstream_py2_raxml_T1	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	upstream_py2_raxml_T8	6	6	6	0	0	5	5	1.000	1.000	False
n100	100	upstream_py3_raxml_T8	6	6	6	0	0	6	6	1.000	1.000	True
n200	200	port_py3_epang_T1	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T16	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T2	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T4	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T8	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T8_K10	11	14	10	1	4	10	10	0.909	0.714	False
n200	200	port_py3_epang_T8_K25	11	12	11	0	1	10	10	1.000	0.917	False
n200	200	port_py3_epang_T8_K50	11	12	11	0	1	10	10	1.000	0.917	False
n200	200	port_py3_epang_T8_Kexact	11	12	11	0	1	10	10	1.000	0.917	False
n200	200	port_py3_epang_T8_acc999	11	16	10	1	6	10	10	0.909	0.625	False
n200	200	port_py3_epang_T8_blo	11	13	10	1	3	9	9	0.909	0.769	False
n200	200	port_py3_epang_T8_noheur	11	15	10	1	5	10	10	0.909	0.667	False
n200	200	port_py3_epang_T8_raxmlmatch	11	11	11	0	0	9	8	1.000	1.000	False
n200	200	port_py3_raxml_T1	11	11	11	0	0	11	11	1.000	1.000	True
n200	200	port_py3_raxml_T8	11	11	11	0	0	11	11	1.000	1.000	True
n200	200	upstream_py2_raxml_T1	11	11	11	0	0	10	10	1.000	1.000	False
n200	200	upstream_py2_raxml_T8	11	11	11	0	0	10	10	1.000	1.000	False
n200	200	upstream_py3_raxml_T8	11	11	11	0	0	11	11	1.000	1.000	True
n400	400	port_py3_epang_T1	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T16	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T1_K25	24	21	21	3	0	21	20	0.875	1.000	False
n400	400	port_py3_epang_T2	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T4	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_K10	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_K25	24	21	21	3	0	21	20	0.875	1.000	False
n400	400	port_py3_epang_T8_K50	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_Kexact	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_acc999	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_blo	24	22	18	6	4	18	17	0.750	0.818	False
n400	400	port_py3_epang_T8_noheur	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_raxmlmatch	24	20	20	4	0	20	19	0.833	1.000	False
n400	400	port_py3_raxml_T1	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	port_py3_raxml_T8	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	upstream_py2_raxml_T1	24	25	22	2	3	21	20	0.917	0.880	False
n400	400	upstream_py2_raxml_T8	24	25	22	2	3	21	20	0.917	0.880	False
n400	400	upstream_py3_raxml_T8	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	upstream_py3_raxml_T8_gamma	24	24	24	0	0	24	24	1.000	1.000	True
n800	800	port_py3_epang_T1	48	47	40	8	7	39	38	0.833	0.851	False
n800	800	port_py3_epang_T16	48	47	40	8	7	39	38	0.833	0.851	False
n800	800	port_py3_epang_T1_K25	48	49	46	2	3	45	44	0.958	0.939	False
n800	800	port_py3_epang_T2	48	47	40	8	7	39	38	0.833	0.851	False
n800	800	port_py3_epang_T4	48	47	40	8	7	39	38	0.833	0.851	False
n800	800	port_py3_epang_T8	48	47	40	8	7	39	38	0.833	0.851	False
n800	800	port_py3_epang_T8_K100	48	49	46	2	3	45	44	0.958	0.939	False
n800	800	port_py3_epang_T8_K25	48	49	46	2	3	45	44	0.958	0.939	False
n800	800	port_py3_epang_T8_K25_gammainfo	48	52	47	1	5	47	45	0.979	0.904	False
n800	800	port_py3_epang_T8_gammainfo	48	50	42	6	8	42	40	0.875	0.840	False
n800	800	upstream_py2_raxml_T1	48	49	42	6	7	42	42	0.875	0.857	False
n800	800	upstream_py3_raxml_T8	48	49	48	0	1	48	48	1.000	0.980	False
n800	800	upstream_py3_raxml_T8_gamma	48	49	44	4	5	44	44	0.917	0.898	False
n1600	1600	port_py3_epang_T1	118	133	101	17	32	98	92	0.856	0.759	False
n1600	1600	port_py3_epang_T16	118	134	102	16	32	99	90	0.864	0.761	False
n1600	1600	port_py3_epang_T1_K25	118	124	106	12	18	104	101	0.898	0.855	False
n1600	1600	port_py3_epang_T2	118	133	101	17	32	98	92	0.856	0.759	False
n1600	1600	port_py3_epang_T4	118	133	101	17	32	98	92	0.856	0.759	False
n1600	1600	port_py3_epang_T8	118	131	99	19	32	96	90	0.839	0.756	False
n1600	1600	port_py3_epang_T8_K100	118	121	106	12	15	104	101	0.898	0.876	False
n1600	1600	port_py3_epang_T8_K25	118	124	106	12	18	104	101	0.898	0.855	False
n1600	1600	port_py3_epang_T8_K25_gammainfo	118	124	106	12	18	104	101	0.898	0.855	False
n1600	1600	port_py3_epang_T8_K50	118	123	106	12	17	104	101	0.898	0.862	False
n1600	1600	port_py3_epang_T8_gammainfo	118	135	102	16	33	99	90	0.864	0.756	False
n1600	1600	upstream_py2_raxml_T1	118	131	96	22	35	96	92	0.814	0.733	False
n1600	1600	upstream_py3_raxml_T8	118	119	118	0	1	118	118	1.000	0.992	False
n1600	1600	upstream_py3_raxml_T8_gamma	118	119	113	5	6	112	111	0.958	0.950	False
n5402	5402	port_py3_epang_T1	581	602	452	129	150	408	374	0.778	0.751	False
n5402	5402	port_py3_epang_T16	581	602	452	129	150	408	374	0.778	0.751	False
n5402	5402	port_py3_epang_T1_K25	581	570	469	112	101	443	420	0.807	0.823	False
n5402	5402	port_py3_epang_T2	581	602	452	129	150	408	374	0.778	0.751	False
n5402	5402	port_py3_epang_T4	581	604	455	126	149	411	369	0.783	0.753	False
n5402	5402	port_py3_epang_T8	581	604	455	126	149	411	369	0.783	0.753	False
n5402	5402	port_py3_epang_T8_K25	581	576	461	120	115	435	408	0.793	0.800	False
n5402	5402	port_py3_epang_T8_K50	581	576	479	102	97	454	427	0.824	0.832	False
