dataset	n_seqs	condition	seq_id	kind	reference_rank	reference_original	reference_proposed	reference_conf	test_rank	test_original	test_proposed	test_conf	taxonomy
n100	100	port_py3_epang_T1	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.951	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T16	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.951	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T2	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.951	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T4	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.951	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T8	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.951	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T8_K10	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.952	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T8_K25	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.952	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T8_K50	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.952	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	port_py3_epang_T8_Kexact	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.954	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
n100	100	upstream_py2_raxml_T1	1843d5a8-d171-4269-bab8-3b107f9fe3f7	rank differs	Phylum	Tracheophyta	Chlorophyta	0.763	Order	Aquifoliales	Poales	0.829	Plantae;Tracheophyta;NA;Aquifoliales;Aquifoliaceae;Ilex
