dataset	n_seqs	condition	n_reference	n_test	matched	only_reference	only_test	same_rank	same_proposal	recall	precision	identical
n400	400	port_py3_epang_T1	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T16	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T2	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T4	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_K10	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_K25	24	21	21	3	0	21	20	0.875	1.000	False
n400	400	port_py3_epang_T8_K50	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_Kexact	24	22	22	2	0	22	21	0.917	1.000	False
n400	400	port_py3_epang_T8_acc999	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_blo	24	22	18	6	4	18	17	0.750	0.818	False
n400	400	port_py3_epang_T8_noheur	24	22	20	4	2	20	19	0.833	0.909	False
n400	400	port_py3_epang_T8_raxmlmatch	24	20	20	4	0	20	19	0.833	1.000	False
n400	400	port_py3_raxml_T1	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	port_py3_raxml_T8	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	upstream_py2_raxml_T1	24	25	22	2	3	21	20	0.917	0.880	False
n400	400	upstream_py2_raxml_T8	24	25	22	2	3	21	20	0.917	0.880	False
n400	400	upstream_py3_raxml_T1	24	24	24	0	0	24	24	1.000	1.000	True
n400	400	upstream_py3_raxml_T8	24	24	24	0	0	24	24	1.000	1.000	True
n800	800	port_py3_epang_T1	49	47	37	12	10	37	37	0.755	0.787	False
n800	800	port_py3_epang_T16	49	47	37	12	10	37	37	0.755	0.787	False
n800	800	port_py3_epang_T2	49	47	37	12	10	37	37	0.755	0.787	False
n800	800	port_py3_epang_T4	49	47	37	12	10	37	37	0.755	0.787	False
n800	800	port_py3_epang_T8	49	47	37	12	10	37	37	0.755	0.787	False
n800	800	port_py3_epang_T8_K100	49	49	43	6	6	43	43	0.878	0.878	False
n800	800	port_py3_epang_T8_K25	49	49	43	6	6	43	43	0.878	0.878	False
n800	800	upstream_py2_raxml_T1	49	49	39	10	10	39	39	0.796	0.796	False
n800	800	upstream_py3_raxml_T1	49	48	44	5	4	44	44	0.898	0.917	False
n800	800	upstream_py3_raxml_T8	49	49	44	5	5	44	44	0.898	0.898	False
n1600	1600	port_py3_epang_T1	119	133	102	17	31	98	93	0.857	0.767	False
n1600	1600	port_py3_epang_T16	119	134	103	16	31	99	91	0.866	0.769	False
n1600	1600	port_py3_epang_T2	119	133	102	17	31	98	93	0.857	0.767	False
n1600	1600	port_py3_epang_T4	119	133	102	17	31	98	93	0.857	0.767	False
n1600	1600	port_py3_epang_T8	119	131	100	19	31	96	91	0.840	0.763	False
n1600	1600	port_py3_epang_T8_K100	119	121	107	12	14	104	102	0.899	0.884	False
n1600	1600	port_py3_epang_T8_K25	119	124	107	12	17	104	102	0.899	0.863	False
n1600	1600	port_py3_epang_T8_K50	119	123	107	12	16	104	102	0.899	0.870	False
n1600	1600	upstream_py2_raxml_T1	119	131	96	23	35	95	92	0.807	0.733	False
n1600	1600	upstream_py3_raxml_T1	119	118	113	6	5	112	111	0.950	0.958	False
n1600	1600	upstream_py3_raxml_T8	119	119	113	6	6	112	111	0.950	0.950	False
