dataset	n_seqs	condition	seq_id	kind	reference_rank	reference_original	reference_proposed	reference_conf	test_rank	test_original	test_proposed	test_conf	taxonomy
n400	400	port_py3_epang_T1	ab24a6f7-938e-4292-ba70-41a7aab91d5a	same rank, other proposal	Phylum	NA	Zoopagomycota	0.546	Phylum	NA	Basidiomycota	1.000	Fungi;NA;NA;NA;NA;NA;NA
n400	400	port_py3_epang_T1	381fe2c2-6601-4da5-b77f-d0742d89e4c3	flagged by reference only	Genus	Scorzonera	Koelpinia	0.508					Plantae;Tracheophyta;NA;Asterales;Asteraceae;Scorzonera
n400	400	port_py3_epang_T1	4e64fbdd-787d-4ecb-86a4-d3b9af400c07	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T1	52ee4c25-e482-40e8-b264-0838f7555fbf	flagged by reference only	Species	NA	Asterochloris italiana	0.491					Plantae;Chlorophyta;NA;Microthamniales;NA;Asterochloris;NA
n400	400	port_py3_epang_T1	fc6604a6-b285-426a-9c5a-650da0f8e631	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T1	50ebe735-0968-4662-8c3c-7fb2313c3d3a	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T1	5a6435e7-8a80-4641-8ad1-79268b3dc7f3	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T16	ab24a6f7-938e-4292-ba70-41a7aab91d5a	same rank, other proposal	Phylum	NA	Zoopagomycota	0.546	Phylum	NA	Basidiomycota	1.000	Fungi;NA;NA;NA;NA;NA;NA
n400	400	port_py3_epang_T16	381fe2c2-6601-4da5-b77f-d0742d89e4c3	flagged by reference only	Genus	Scorzonera	Koelpinia	0.508					Plantae;Tracheophyta;NA;Asterales;Asteraceae;Scorzonera
n400	400	port_py3_epang_T16	4e64fbdd-787d-4ecb-86a4-d3b9af400c07	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T16	52ee4c25-e482-40e8-b264-0838f7555fbf	flagged by reference only	Species	NA	Asterochloris italiana	0.491					Plantae;Chlorophyta;NA;Microthamniales;NA;Asterochloris;NA
n400	400	port_py3_epang_T16	fc6604a6-b285-426a-9c5a-650da0f8e631	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T16	50ebe735-0968-4662-8c3c-7fb2313c3d3a	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T16	5a6435e7-8a80-4641-8ad1-79268b3dc7f3	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T2	ab24a6f7-938e-4292-ba70-41a7aab91d5a	same rank, other proposal	Phylum	NA	Zoopagomycota	0.546	Phylum	NA	Basidiomycota	1.000	Fungi;NA;NA;NA;NA;NA;NA
n400	400	port_py3_epang_T2	381fe2c2-6601-4da5-b77f-d0742d89e4c3	flagged by reference only	Genus	Scorzonera	Koelpinia	0.508					Plantae;Tracheophyta;NA;Asterales;Asteraceae;Scorzonera
n400	400	port_py3_epang_T2	4e64fbdd-787d-4ecb-86a4-d3b9af400c07	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T2	52ee4c25-e482-40e8-b264-0838f7555fbf	flagged by reference only	Species	NA	Asterochloris italiana	0.491					Plantae;Chlorophyta;NA;Microthamniales;NA;Asterochloris;NA
n400	400	port_py3_epang_T2	fc6604a6-b285-426a-9c5a-650da0f8e631	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T2	50ebe735-0968-4662-8c3c-7fb2313c3d3a	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T2	5a6435e7-8a80-4641-8ad1-79268b3dc7f3	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T4	ab24a6f7-938e-4292-ba70-41a7aab91d5a	same rank, other proposal	Phylum	NA	Zoopagomycota	0.546	Phylum	NA	Basidiomycota	1.000	Fungi;NA;NA;NA;NA;NA;NA
n400	400	port_py3_epang_T4	381fe2c2-6601-4da5-b77f-d0742d89e4c3	flagged by reference only	Genus	Scorzonera	Koelpinia	0.508					Plantae;Tracheophyta;NA;Asterales;Asteraceae;Scorzonera
n400	400	port_py3_epang_T4	4e64fbdd-787d-4ecb-86a4-d3b9af400c07	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T4	52ee4c25-e482-40e8-b264-0838f7555fbf	flagged by reference only	Species	NA	Asterochloris italiana	0.491					Plantae;Chlorophyta;NA;Microthamniales;NA;Asterochloris;NA
n400	400	port_py3_epang_T4	fc6604a6-b285-426a-9c5a-650da0f8e631	flagged by reference only	Species	Bouteloua curtipendula	NA	0.510					Plantae;Tracheophyta;NA;Poales;Poaceae;Bouteloua;Bouteloua curtipendula
n400	400	port_py3_epang_T4	50ebe735-0968-4662-8c3c-7fb2313c3d3a	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T4	5a6435e7-8a80-4641-8ad1-79268b3dc7f3	flagged by test only					Genus	Evotrochis	Primula	1.000	Plantae;Tracheophyta;NA;Ericales;Primulaceae;Evotrochis
n400	400	port_py3_epang_T8	ab24a6f7-938e-4292-ba70-41a7aab91d5a	same rank, other proposal	Phylum	NA	Zoopagomycota	0.546	Phylum	NA	Basidiomycota	1.000	Fungi;NA;NA;NA;NA;NA;NA
